Alberto ,2010,Gelding,Bertolini (USA),Al Awaalah ,Alastair Lidderdale,47,,,
Albonny (IRE),2009,Gelding,Aussie Rules (USA),Silk Law (IRE),Alan Jarvis,72,,,
Alborz (IRE),2009,Gelding,Dubai Destination (USA),Mount Elbrus ,Tim Vaughan,69,,,115
Alcaeus ,2010,Colt,Hernando (FR),Alvarita ,Sir Mark Prescott Bt,94,,,
Alcando (IRE),2010,Gelding,Alhaarth (IRE),Cantando (IRE),Denis Coakley,70,,,
Alder Mairi (IRE),2007,Filly,Alderbrook ,Amari Queen,Seamus Mullins,,,,124
Alderbrook Lad (IRE),2006,Gelding,Alderbrook ,Alone Tabankulu (IRE),Micky Hammond,,,103,
Alderley ,2011,Filly,Three Valleys (USA),Doctor's Note ,Martyn Meade,70,,,
Alderley Rover (IRE),2004,Gelding,Beneficial ,St Anne's Lady (IRE),Donald McCain,,,,125
Alderluck (IRE),2003,Gelding,Alderbrook ,Cecelia's Charm (IRE),David Pipe,,,122,
Aldiva ,2006,Gelding,Alflora (IRE),Diva ,Caroline Bailey,,,,91
Aldopicgros (FR),2010,Gelding,Tirwanako (FR),In'challha (FR),Paul Nicholls,,,,120
Aldreth ,2011,Gelding,Champs Elysees ,Rowan Flower (IRE),Michael Easterby,57,,,
Aldwick Bay (IRE),2008,Gelding,Danehill Dancer (IRE),Josie Doocey (IRE),Tom Dascombe,70,,,
Alegra ,2010,Filly,Galileo (IRE),Altitude ,Lady Cecil,85,,,
Alejandro (IRE),2009,Gelding,Dark Angel (IRE),Carallia (IRE),David O'Meara,88,,,
Aleksandar ,2009,Gelding,Medicean ,Alexander Celebre (IRE),Jim Goldie,65,,,
Alexander Oats ,2003,Gelding,Insan (USA),Easter Oats,Robert Goldie,,,82,
Alexandrakollontai (IRE),2010,Filly,Amadeus Wolf ,Story ,Alistair Whillans,68,,,
Alexanor (IRE),2011,Colt,Pivotal ,Butterfly Cove (USA),Marco Botti,73,,,
Alezanna ,2009,Filly,Halling (USA),Denica (IRE),James Toller,51,,,
Alf The Audacious ,2006,Gelding,Alflora (IRE),Rua Ros (IRE),Sue Smith,,,,101
Alfaayza (IRE),2011,Filly,Dansili ,Ayun (USA),K. R. Burke,73,,,
Alfie Alexander (IRE),2008,Gelding,Indian Danehill (IRE),Bella Galiana (ITY),Mark Hoad,,,,78
Alfie Joe ,2009,Gelding,Bandmaster (USA),The Grey Bam Bam ,Ron Hodges,38,,,
Alfie Lunete (IRE),2011,Filly,Footstepsinthesand ,La Lunete ,J. S. Moore,65,,,
Alfie Sherrin ,2003,Gelding,Kayf Tara ,Mandys Native (IRE),Jonjo O'Neill,,,134,136
Alfie Spinner (IRE),2005,Gelding,Alflora (IRE),Little Red Spider ,Nick Williams,,,128,
Alfie Wills ,2007,Gelding,Alflora (IRE),Inesse ,Kim Bailey,,,,81
Alfoisin (IRE),2004,Gelding,Alflora (IRE),Alphacall ,Mrs C. A. Coward,,,89,
Alfraamsey ,2008,Gelding,Fraam ,Evanesce ,Sheena West,71,,126,126
Alfred Hutchinson ,2008,Gelding,Monsieur Bond (IRE),Chez Cherie ,Geoffrey Oldroyd,85,87,,
Alfred Oats ,2004,Gelding,Alflora (IRE),Easter Oats,Robert Goldie,,,95,
Alfresco ,2004,Gelding,Mtoto,Maureena (IRE),Martin Bosley,54,,,
Algar Lad ,2010,Gelding,Kheleyf (USA),Winding (USA),Jim Goldie,75,,,
Algernon Pazham (IRE),2009,Gelding,Milan ,Kitty Star (IRE),Nigel Twiston-Davies,,,,129
Algorithmic (IRE),2010,Gelding,Danehill Dancer (IRE),Tanami Desert ,Michael Bell,48,,,
Alhaarth Beauty (IRE),2010,Filly,Alhaarth (IRE),Endis (IRE),Ismail Mohammed,64,,,
Alhaban (IRE),2006,Gelding,Verglas (IRE),Anne Tudor (IRE),Ronald Harris,62,64,,
Alhebayeb (IRE),2010,Colt,Dark Angel (IRE),Miss Indigo ,Richard Hannon,103,,,
Ali Baba ,2006,Gelding,Nayef (USA),Alligram (USA),Alan King,,,,103
Alice Rose (IRE),2009,Filly,Manduro (GER),Bold Assumption ,Rae Guest,62,,,
Alices Dancer (IRE),2009,Filly,Clodovil (IRE),Islandagore (IRE),William Muir,79,,,
Alimure ,2006,Filly,Tamure (IRE),Auntie Alice ,Clive Mulhall,,,,64
Alis Aquilae (IRE),2006,Gelding,Captain Rio ,Garnock Academy (USA),Tim Etherington,61,,,
Alisios (GR),2011,Colt,Ialysos (GR),Macanuda (IRE),Luca Cumani,78,,,
Alistorm ,2006,Filly,Bob Back (USA),Storm In Front (IRE),Mark Campion,,,,61
Aljamaaheer (IRE),2009,Colt,Dubawi (IRE),Kelly Nicole (IRE),Roger Varian,116,,,
Aljosan ,2009,Filly,Compton Place ,Little Caroline (IRE),Frank Sheridan,48,,,
Alkcama (IRE),2010,Gelding,Camacho ,Alkifaf (USA),John Weymes,48,,,
Alkhataaf (USA),2007,Gelding,Green Desert (USA),Elrafa Ah (USA),Lydia Pearce,55,,,
